Line,Sample,Amp 28,"d15N (permil, vs AIR)"
1,usgs40,3283,-4.54
2,usgs40,4354,-4.63
3,usgs40,2790,-4.57
4,usgs41a,3123,47.52
5,CLMA3,895,-0.81
6,CLIT4,3617,-1.45
7,CLMA2,853,-1.38
8,CLIT1,2034,-0.21
9,18-10C-CLIT1,1813,-1.05
10,20-6CP-DES1,2916,-1.49
11,20-6CP-CLIT1,4498,-2.05
12,18-10C-CLIT2,5280,-1.88
13,usgs40,4368,-4.34
14,usgs41a,4331,47.57
